"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2018","32.870",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2017","32.936",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2016","31.983",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2015","31.038",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2014","31.296",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2013","30.754",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2012","31.669",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2011","30.452",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2010","34.767",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2009","34.570",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2008","31.899",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2007","33.581",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2006","31.133",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2005","30.242",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2004","26.911",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2003","27.327",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2002","27.972",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2001","28.383",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belgium","BEL","2000","24.532",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belize","BLZ","2016","41.707",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Belize","BLZ","2015","39.137",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Benin","BEN","2022","23.518",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bhutan","BTN","2023","17.894",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bhutan","BTN","2022","16.629",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bhutan","BTN","2021","20.429",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bhutan","BTN","2020","18.955",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bhutan","BTN","2019","17.772",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bhutan","BTN","2018","20.236",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2023","28.015",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2022","29.980",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2021","28.556",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2020","30.929",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2019","28.492",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2018","30.443",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2017","26.753",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2016","29.992",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2015","34.447",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2014","35.462",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2013","31.091",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2012","32.028",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2011","35.552",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2009","38.807",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2008","35.125",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2007","31.293",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2005","31.640",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2001","18.524",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bolivia","BOL","2000","37.898",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2023","27.898",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2022","24.090",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2021","20.175",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2020","24.890",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2019","25.430",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2018","26.118",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2017","18.830",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2016","18.782",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2015","24.184",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2014","24.157",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2013","21.416",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2012","23.028",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2011","22.598",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2010","30.164",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2009","27.670",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2008","33.346",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2007","20.270",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bosnia and Herzegovina","BIH","2006","23.726",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Botswana","BWA","2023","52.686",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Botswana","BWA","2022","59.221",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Botswana","BWA","2021","58.386",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Botswana","BWA","2020","56.677",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Botswana","BWA","2019","57.771",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2023","38.910",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2022","38.293",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2021","37.157",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2020","35.469",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2019","37.593",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2018","37.860",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2017","37.661",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2016","37.561",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2015","37.096",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2014","36.477",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2013","36.185",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2012","35.622",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2011","36.578",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2009","35.218",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2008","35.828",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2007","37.678",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2006","36.299",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2005","38.068",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2004","35.666",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2003","34.222",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brazil","BRA","2002","35.016",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brunei Darussalam","BRN","2023","38.990",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brunei Darussalam","BRN","2022","32.511",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brunei Darussalam","BRN","2021","41.142",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brunei Darussalam","BRN","2020","37.430",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brunei Darussalam","BRN","2019","32.262",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brunei Darussalam","BRN","2018","34.552",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brunei Darussalam","BRN","2017","36.970",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Brunei Darussalam","BRN","2014","32.512",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2022","40.393",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2021","38.025",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2020","42.120",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2019","39.354",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2018","39.617",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2017","41.776",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2016","38.576",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2015","37.354",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2014","34.269",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2013","37.456",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2012","36.804",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2011","38.043",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2010","38.586",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2009","36.418",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2008","36.228",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2007","36.408",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2006","37.561",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2005","40.611",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2004","41.428",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2003","37.796",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2002","42.311",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2001","40.523",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Bulgaria","BGR","2000","37.459",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Burkina Faso","BFA","2023","29.216",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Burkina Faso","BFA","2022","14.547",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Burkina Faso","BFA","2018","23.953",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Burundi","BDI","2020","25.668",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cabo Verde","CPV","2009","28.977",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2021","24.619",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2020","24.532",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2019","29.234",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2017","20.152",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2016","33.142",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2015","25.094",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2014","15.887",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2013","22.470",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2012","16.673",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2011","14.639",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2010","12.802",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2009","17.485",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2008","18.695",""
"Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","Cambodia","KHM","2007","27.650",""
