"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","2000","26.327","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","1999","28.621","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","1998","29.296","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Central Europe and the Baltics","CEB","1997","31.831","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Early-demographic dividend","EAR","2023","37.039","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Early-demographic dividend","EAR","2022","35.398","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Early-demographic dividend","EAR","2021","33.943","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Early-demographic dividend","EAR","2020","31.224","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Early-demographic dividend","EAR","2019","31.778","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Early-demographic dividend","EAR","2018","29.383","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Early-demographic dividend","EAR","2012","32.215","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Early-demographic dividend","EAR","2010","33.706","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Early-demographic dividend","EAR","2005","33.791","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","East Asia & Pacific","EAS","2000","70.982","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","East Asia & Pacific (excluding high income)","EAP","2000","71.309","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","East Asia & Pacific (IDA & IBRD)","TEA","2000","71.309","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2023","29.265","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2022","28.879","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2021","27.967","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2020","27.539","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2019","28.384","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2018","28.482","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2017","28.883","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2016","28.799","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2015","29.166","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2014","29.511","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2013","29.907","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2012","30.265","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2011","30.380","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2010","29.580","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2009","30.250","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2008","30.135","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2007","30.281","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2006","30.195","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2005","29.021","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2004","28.678","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2003","29.281","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2002","28.958","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2001","29.115","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","2000","30.710","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","1999","31.355","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","1998","30.611","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","1997","29.020","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","1996","29.212","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","1995","29.227","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","1994","29.166","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Euro area","EMU","1993","29.448","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2023","28.579","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2022","28.005","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2021","28.236","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2020","27.584","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2019","28.896","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2018","29.193","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2017","28.266","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2016","29.377","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2015","30.077","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2014","29.086","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2013","30.158","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2012","30.511","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2011","30.632","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2010","29.977","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2009","33.405","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2008","33.513","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2007","34.156","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2006","34.492","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2005","33.396","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia","ECS","2003","32.810","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (excluding high income)","ECA","2020","23.372","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (excluding high income)","ECA","2018","30.267","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (excluding high income)","ECA","2017","23.917","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (excluding high income)","ECA","2016","22.580","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2023","20.784","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2022","20.484","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2021","20.886","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2020","19.995","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2019","21.526","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2018","22.461","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2017","19.891","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2016","22.910","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2015","23.993","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2014","21.501","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2013","22.411","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2012","22.893","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2011","22.622","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Europe & Central Asia (IDA & IBRD)","TEC","2010","21.996","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2023","29.017","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2022","28.251","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2021","27.311","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2020","27.463","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2019","28.304","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2018","28.353","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2017","28.723","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2016","28.603","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2015","28.998","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2014","27.632","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2013","28.048","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2012","28.462","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2011","28.590","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2010","28.029","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2009","28.666","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2008","28.687","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2007","28.894","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2006","28.797","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2005","27.874","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2004","27.839","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2003","28.529","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2002","28.562","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2001","29.253","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","2000","30.538","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","1999","31.606","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","1998","30.861","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","1997","30.023","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","1996","30.425","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","European Union","EUU","1995","29.881","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2023","30.583","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2022","29.850","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2021","30.048","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2020","29.582","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2019","30.635","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2018","30.348","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2017","30.622","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2016","31.463","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2015","31.528","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2014","31.196","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2013","31.056","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2012","31.831","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2011","31.853","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2010","31.664","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2009","34.304","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2008","33.671","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2007","34.250","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2006","34.106","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2005","33.421","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2004","32.831","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2003","33.256","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2002","33.392","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2001","33.709","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","High income","HIC","2000","34.112","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","IBRD only","IBD","2021","34.493","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","IBRD only","IBD","2000","57.451","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","IDA blend","IDB","2019","43.764","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","IDA blend","IDB","2016","37.220","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Late-demographic dividend","LTE","2000","71.588","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2023","38.683","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2022","38.937","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2021","38.353","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2020","35.095","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2019","40.859","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2018","40.864","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2017","41.151","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2016","41.297","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2015","46.805","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2014","47.764","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2013","48.083","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2012","48.498","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2011","45.492","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2009","46.922","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2008","47.640","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2007","48.995","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2006","48.695","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2005","48.645","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2004","49.647","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2003","48.984","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean","LCN","2002","50.408","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean (excluding high income)","LAC","2023","38.839","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean (excluding high income)","LAC","2022","39.165","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean (excluding high income)","LAC","2021","38.753","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean (excluding high income)","LAC","2020","35.368","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean (excluding high income)","LAC","2019","40.995","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean (excluding high income)","LAC","2018","40.972","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean (excluding high income)","LAC","2017","41.172","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean (excluding high income)","LAC","2016","41.819","Basic, female"
"Labor force with basic education, female (% of female working-age population with basic education)","SL.TLF.BASC.FE.ZS","Latin America & Caribbean (excluding high income)","LAC","2015","47.497","Basic, female"
